comparison,delta,left_method,left_metric,metric_used,model,right_method,right_metric,task
prompt_vs_direct,0.009370,prompt,0.035032,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-0.5B-Instruct,direct,0.025662,has_vul
prompt_vs_direct,-0.036171,prompt,0.054361,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.090532,vul_type
qlora_vs_direct,0.314330,qlora,0.404862,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.090532,vul_type
full_vs_direct,0.382364,full,0.472896,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,direct,0.090532,vul_type
full_vs_qlora,0.068034,full,0.472896,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-1.5B-Instruct,qlora,0.404862,vul_type
prompt_vs_direct,-0.104118,prompt,0.179523,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-14B-Instruct,direct,0.283641,has_vul
qlora_vs_direct,0.488157,qlora,0.771798,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-14B-Instruct,direct,0.283641,has_vul
prompt_vs_direct,0.027726,prompt,0.133612,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-14B-Instruct,direct,0.105886,vul_line
qlora_vs_direct,0.288080,qlora,0.393966,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-14B-Instruct,direct,0.105886,vul_line
prompt_vs_direct,-0.058835,prompt,0.058547,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-14B-Instruct,direct,0.117382,vul_type
qlora_vs_direct,0.317656,qlora,0.435038,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-14B-Instruct,direct,0.117382,vul_type
prompt_vs_direct,-0.021269,prompt,0.247268,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-32B-Instruct,direct,0.268537,has_vul
qlora_vs_direct,0.490027,qlora,0.758564,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-32B-Instruct,direct,0.268537,has_vul
prompt_vs_direct,0.007145,prompt,0.182164,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-32B-Instruct,direct,0.175019,vul_line
qlora_vs_direct,0.218084,qlora,0.393103,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-32B-Instruct,direct,0.175019,vul_line
prompt_vs_direct,-0.059239,prompt,0.052608,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-32B-Instruct,direct,0.111847,vul_type
qlora_vs_direct,0.332703,qlora,0.444550,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-32B-Instruct,direct,0.111847,vul_type
prompt_vs_direct,-0.142095,prompt,0.179245,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.321340,has_vul
qlora_vs_direct,0.465799,qlora,0.787139,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.321340,has_vul
full_vs_direct,0.552982,full,0.874322,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.321340,has_vul
full_vs_qlora,0.087183,full,0.874322,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,qlora,0.787139,has_vul
prompt_vs_direct,0.036313,prompt,0.118643,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.082330,vul_line
qlora_vs_direct,0.304262,qlora,0.386592,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.082330,vul_line
full_vs_direct,0.319656,full,0.401986,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.082330,vul_line
full_vs_qlora,0.015394,full,0.401986,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,qlora,0.386592,vul_line
prompt_vs_direct,-0.047571,prompt,0.061665,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.109236,vul_type
qlora_vs_direct,0.178563,qlora,0.287799,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.109236,vul_type
full_vs_direct,0.354695,full,0.463931,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,direct,0.109236,vul_type
full_vs_qlora,0.176132,full,0.463931,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-3B-Instruct,qlora,0.287799,vul_type
prompt_vs_direct,-0.090534,prompt,0.135881,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-7B-Instruct,direct,0.226415,has_vul
qlora_vs_direct,0.534596,qlora,0.761011,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-7B-Instruct,direct,0.226415,has_vul
prompt_vs_direct,0.044934,prompt,0.173779,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-7B-Instruct,direct,0.128845,vul_line
qlora_vs_direct,0.257287,qlora,0.386132,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-7B-Instruct,direct,0.128845,vul_line
prompt_vs_direct,-0.060192,prompt,0.054056,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-7B-Instruct,direct,0.114248,vul_type
qlora_vs_direct,0.306542,qlora,0.420790,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,Qwen/Qwen2.5-Coder-7B-Instruct,direct,0.114248,vul_type
prompt_vs_direct,0.121667,prompt,0.267799,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,WizardLM/WizardCoder-Python-7B-V1.0,direct,0.146132,has_vul
qlora_vs_direct,0.588545,qlora,0.734677,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,WizardLM/WizardCoder-Python-7B-V1.0,direct,0.146132,has_vul
prompt_vs_direct,0.026904,prompt,0.112317,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,WizardLM/WizardCoder-Python-7B-V1.0,direct,0.085413,vul_line
qlora_vs_direct,0.014949,qlora,0.100362,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,WizardLM/WizardCoder-Python-7B-V1.0,direct,0.085413,vul_line
prompt_vs_direct,-0.003615,prompt,0.052867,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,WizardLM/WizardCoder-Python-7B-V1.0,direct,0.056482,vul_type
qlora_vs_direct,0.339292,qlora,0.395774,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,WizardLM/WizardCoder-Python-7B-V1.0,direct,0.056482,vul_type
prompt_vs_direct,0.140071,prompt,0.280161,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-15b,direct,0.140089,has_vul
qlora_vs_direct,0.630722,qlora,0.770811,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-15b,direct,0.140089,has_vul
prompt_vs_direct,-0.033743,prompt,0.092920,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-15b,direct,0.126663,vul_line
qlora_vs_direct,0.255329,qlora,0.381992,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-15b,direct,0.126663,vul_line
prompt_vs_direct,-0.052475,prompt,0.058202,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-15b,direct,0.110677,vul_type
qlora_vs_direct,0.257297,qlora,0.367974,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-15b,direct,0.110677,vul_type
prompt_vs_direct,0.056939,prompt,0.095094,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.038156,has_vul
qlora_vs_direct,0.670261,qlora,0.708416,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.038156,has_vul
full_vs_direct,0.811402,full,0.849558,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.038156,has_vul
full_vs_qlora,0.141141,full,0.849558,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,qlora,0.708416,has_vul
prompt_vs_direct,0.061171,prompt,0.139072,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.077901,vul_line
qlora_vs_direct,0.263436,qlora,0.341337,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.077901,vul_line
full_vs_direct,0.308042,full,0.385943,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.077901,vul_line
full_vs_qlora,0.044606,full,0.385943,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,qlora,0.341337,vul_line
prompt_vs_direct,-0.046853,prompt,0.050322,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.097175,vul_type
qlora_vs_direct,0.158586,qlora,0.255761,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.097175,vul_type
full_vs_direct,0.353245,full,0.450420,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,direct,0.097175,vul_type
full_vs_qlora,0.194659,full,0.450420,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-3b,qlora,0.255761,vul_type
prompt_vs_direct,0.034533,prompt,0.101099,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-7b,direct,0.066566,has_vul
qlora_vs_direct,0.690700,qlora,0.757266,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-7b,direct,0.066566,has_vul
prompt_vs_direct,-0.008237,prompt,0.089261,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-7b,direct,0.097498,vul_line
qlora_vs_direct,0.271717,qlora,0.369215,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-7b,direct,0.097498,vul_line
prompt_vs_direct,-0.040765,prompt,0.052142,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-7b,direct,0.092907,vul_type
qlora_vs_direct,0.193121,qlora,0.286028,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,bigcode/starcoder2-7b,direct,0.092907,vul_type
prompt_vs_direct,0.140103,prompt,0.251214,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-13b-hf,direct,0.111111,has_vul
qlora_vs_direct,0.665340,qlora,0.776451,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-13b-hf,direct,0.111111,has_vul
prompt_vs_direct,0.004715,prompt,0.089828,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-13b-hf,direct,0.085113,vul_line
qlora_vs_direct,-0.001503,qlora,0.083610,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-13b-hf,direct,0.085113,vul_line
prompt_vs_direct,-0.030484,prompt,0.050147,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-13b-hf,direct,0.080631,vul_type
qlora_vs_direct,0.296256,qlora,0.376887,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-13b-hf,direct,0.080631,vul_type
prompt_vs_direct,0.002822,prompt,0.171997,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-34b-hf,direct,0.169176,has_vul
qlora_vs_direct,0.618457,qlora,0.787632,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-34b-hf,direct,0.169176,has_vul
prompt_vs_direct,-0.017447,prompt,0.083052,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-34b-hf,direct,0.100499,vul_line
qlora_vs_direct,0.295896,qlora,0.396395,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-34b-hf,direct,0.100499,vul_line
prompt_vs_direct,-0.031311,prompt,0.052863,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-34b-hf,direct,0.084174,vul_type
qlora_vs_direct,0.297637,qlora,0.381811,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-34b-hf,direct,0.084174,vul_type
prompt_vs_direct,0.038628,prompt,0.251513,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-7b-hf,direct,0.212885,has_vul
qlora_vs_direct,0.565126,qlora,0.778011,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-7b-hf,direct,0.212885,has_vul
prompt_vs_direct,0.003399,prompt,0.087009,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-7b-hf,direct,0.083610,vul_line
qlora_vs_direct,0.304465,qlora,0.388075,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-7b-hf,direct,0.083610,vul_line
prompt_vs_direct,-0.014286,prompt,0.152245,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-7b-hf,direct,0.166531,vul_type
qlora_vs_direct,0.228759,qlora,0.395290,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,codellama/CodeLlama-7b-hf,direct,0.166531,vul_type
prompt_vs_direct,0.015772,prompt,0.109711,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.093939,has_vul
qlora_vs_direct,0.708843,qlora,0.802782,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.093939,has_vul
full_vs_direct,0.770971,full,0.864911,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.093939,has_vul
full_vs_qlora,0.062128,full,0.864911,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,qlora,0.802782,has_vul
prompt_vs_direct,-0.007620,prompt,0.125344,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.132964,vul_line
qlora_vs_direct,-0.041391,qlora,0.091573,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.132964,vul_line
full_vs_direct,0.261094,full,0.394058,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.132964,vul_line
full_vs_qlora,0.302485,full,0.394058,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,qlora,0.091573,vul_line
prompt_vs_direct,0.004999,prompt,0.047609,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.042610,vul_type
qlora_vs_direct,0.276641,qlora,0.319251,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.042610,vul_type
full_vs_direct,0.415751,full,0.458361,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,direct,0.042610,vul_type
full_vs_qlora,0.139110,full,0.458361,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-1.3b-base,qlora,0.319251,vul_type
prompt_vs_direct,0.083178,prompt,0.156272,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-33b-base,direct,0.073095,has_vul
qlora_vs_direct,-0.073095,qlora,0.000000,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-33b-base,direct,0.073095,has_vul
prompt_vs_direct,-0.013328,prompt,0.088134,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-33b-base,direct,0.101462,vul_line
qlora_vs_direct,0.289599,qlora,0.391061,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-33b-base,direct,0.101462,vul_line
prompt_vs_direct,-0.005916,prompt,0.047549,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-33b-base,direct,0.053465,vul_type
qlora_vs_direct,0.112249,qlora,0.165714,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-33b-base,direct,0.053465,vul_type
prompt_vs_direct,0.055174,prompt,0.126937,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-6.7b-base,direct,0.071763,has_vul
qlora_vs_direct,0.755852,qlora,0.827615,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-6.7b-base,direct,0.071763,has_vul
prompt_vs_direct,0.017986,prompt,0.131543,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-6.7b-base,direct,0.113557,vul_line
qlora_vs_direct,-0.011497,qlora,0.102060,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-6.7b-base,direct,0.113557,vul_line
prompt_vs_direct,-0.000601,prompt,0.046821,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-6.7b-base,direct,0.047422,vul_type
qlora_vs_direct,0.320741,qlora,0.368163,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,deepseek-ai/deepseek-coder-6.7b-base,direct,0.047422,vul_type
prompt_vs_direct,0.155485,prompt,0.246465,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.090979,has_vul
qlora_vs_direct,0.715028,qlora,0.806008,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.090979,has_vul
full_vs_direct,0.763983,full,0.854962,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.090979,has_vul
full_vs_qlora,0.048954,full,0.854962,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,qlora,0.806008,has_vul
prompt_vs_direct,-0.001816,prompt,0.100551,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.102367,vul_line
qlora_vs_direct,0.290165,qlora,0.392532,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.102367,vul_line
full_vs_direct,0.287645,full,0.390012,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.102367,vul_line
full_vs_qlora,-0.002520,full,0.390012,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,qlora,0.392532,vul_line
prompt_vs_direct,-0.033669,prompt,0.048093,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.081762,vul_type
qlora_vs_direct,0.343738,qlora,0.425500,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.081762,vul_type
full_vs_direct,0.366662,full,0.448424,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,direct,0.081762,vul_type
full_vs_qlora,0.022924,full,0.448424,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-2b,qlora,0.425500,vul_type
prompt_vs_direct,-0.050174,prompt,0.122846,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-7b,direct,0.173021,has_vul
qlora_vs_direct,0.601686,qlora,0.774707,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-7b,direct,0.173021,has_vul
prompt_vs_direct,-0.016981,prompt,0.099252,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-7b,direct,0.116233,vul_line
qlora_vs_direct,0.270992,qlora,0.387225,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-7b,direct,0.116233,vul_line
prompt_vs_direct,-0.031429,prompt,0.157551,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-7b,direct,0.188980,vul_type
qlora_vs_direct,0.228185,qlora,0.417165,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,google/codegemma-7b,direct,0.188980,vul_type
prompt_vs_direct,0.027424,prompt,0.280187,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-20b-code-base,direct,0.252762,has_vul
qlora_vs_direct,0.474964,qlora,0.727727,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-20b-code-base,direct,0.252762,has_vul
prompt_vs_direct,0.011274,prompt,0.094702,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-20b-code-base,direct,0.083428,vul_line
qlora_vs_direct,0.000182,qlora,0.083610,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-20b-code-base,direct,0.083428,vul_line
prompt_vs_direct,-0.036161,prompt,0.052858,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-20b-code-base,direct,0.089019,vul_type
qlora_vs_direct,0.311927,qlora,0.400946,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-20b-code-base,direct,0.089019,vul_type
prompt_vs_direct,0.114331,prompt,0.253199,f1 for has_vul; macro_f1 for vul_type; tolerant_f1 for vul_line,ibm-granite/granite-3b-code-base,direct,0.138868,has_vul
